ISP,Country,ASN
P.P.U.HOLKOsp.z.o.o,PL,"AS197400 P.P.U.H ""OLKO"" sp. z.o.o"
INEAS.A.,PL,AS13110 INEA S.A.
CyfrowyPolsat,PL,AS8374 Polkomtel Sp. z o.o.
PHUAMPLUSKrzysztofJonski,PL,AS199057 PHU AMPLUS Krzysztof Jonski
icomo.pl,PL,AS20960 TK Telekom sp. z o.o.
InternetUnionSpolkaAkcyjna,PL,AS49242 Internet Union Spolka Akcyjna
MarcinMalolepszy@alfanet,,
SpoldzielniaMieszkaniowawGrudziadzu,PL,AS41356 Spoldzielnia Mieszkaniowa w Grudziadzu
UPCPolska,PL,AS6830 Liberty Global B.V.
T-mobilePolska,PK,AS138655 Trans World Enterprise Services (Private) Limited
LeonSp.zo.o.,PL,AS13000 Leon Sp. z o.o.
Plus,GB,AS6871 Plusnet
NET-KOMPKrystianKania,RU,AS12714 Net By Net Holding LLC
OrangeMobile,PL,AS5617 Orange Polska Spolka Akcyjna
MGKRafalChmielewski,PL,AS49633 MGK Rafal Chmielewski
PetrusSpolkazograniczonaodpowiedzialnoscia,PL,AS44914 Petrus Spolka z ograniczona odpowiedzialnoscia
Toyasp.z.o.o,PL,AS16342 Toya sp.z.o.o
EDENInternet,PL,AS208540 Daniel Dundelski trading as EDEN KOMPUTERY
Play,PL,AS39603 P4 Sp. z o.o.
S.u.o.t.s.teosat,PL,AS197724 S.U.O.T.S. TEOSAT
eDialInternet,PL,AS43495 Agnieszka Barzdo trading as AWB-NET
InterWanSp.zo.o.,PL,AS197177 InterWan Sp. z o.o.
INTERKARKOMPUTER-SERWISKarolDziecielski,,
Internetia,PL,AS43939 Netia SA
"PIEKARY.NETSebastianHaider,GrzegorzCzempik",PL,"AS42266 PIEKARY.NET Sebastian Haider, Grzegorz Czempik"
MT-net,NG,AS29465 MTN NIGERIA Communication limited
OrangeSwiatlowod,PL,AS5617 Orange Polska Spolka Akcyjna
OrangePolska,PL,AS5617 Orange Polska Spolka Akcyjna
LibertyGlobal,PL,AS6830 Liberty Global B.V.
ExatelS.A.,PL,AS57101 WADOWICENET SP Z O O
EasyCom,PL,AS202942 Piotr Pawel Swiatek trading as Easy Com
NetiaSA,PL,AS12741 Netia SA
PlusPoland,PL,AS8374 Polkomtel Sp. z o.o.
MultiMedia,PL,AS21021 Multimedia Polska Sp. z o.o.
VectraBroadband,PL,AS29314 VECTRA S.A.
TogetherCommunicationLTD,PS,AS42013 Together Communication LTD
ALZaytonaCompanyForCommunicationLtd.,PS,AS197350 AL Zaytona Company For Communication Ltd.
BCI,PS,AS47253 BCI Telecommunication & Advanced Technology Company
JAWWAL,PS,AS29310 JAWWAL
Hadara,PS,AS12975 Palestine Telecommunications Company (PALTEL)
CoolnetNewCommunicationProvider,IL,AS60636 Coolnet Communications ltd
fusionservices,PS,AS42314 fusion services
AjyalFiCompanyforInformationandCommunication,PS,AS210974 AjyalFi Company for Information and Communication Technology LLC
WataniyaPalestineMobileTelecommunicationCompan,PS,AS48966 Wataniya Palestine Mobile Telecommunication Company Ltd
PalestineTelecommunicationsCompany(PALTEL),PS,AS12975 Palestine Telecommunications Company (PALTEL)
SpeedClick,PS,AS199046 JetNet for Information Technology and Telecommunications Limited Liability Company
JetNetPalestine,PS,AS199046 JetNet for Information Technology and Telecommunications Limited Liability Company
DigitalCommunicationCompanyforTelecommunicatio,PS,AS60268 Digital Communication Company for Telecommunications and Information Technology LTD
AsadNet,PS,AS47546 Asad Tom trading as AsadNet
MadaALArabLTD,PS,AS51407 Mada ALArab LTD
GemzoInformationTechnology,PS,AS51336 Gemzo information technology Private Joint-Stock company
Mada,PS,AS51407 Mada ALArab LTD
BCITelecommunication&AdvancedTechnologyCompan,PS,AS47253 BCI Telecommunication & Advanced Technology Company
HutchSriLanka,LK,AS17470 Hutchison Telecommunications Lanka (Private) Limited
AirtelLanka,LK,AS132045 Bharti Airtel Lanka Pvt. Limited
DialogAxiata,LK,AS18001 Dialog Axiata PLC.
SriLankaTelecom,LK,AS9329 Sri Lanka Telecom Internet
Mobitel,LK,AS45356 Mobitel Pvt Ltd
PhuongDongtechnologysolutioncompanylimited,VN,AS135901 Phuong Dong technology solution company limited
ViettelGroup,VN,AS7552 Viettel Group
VNPT,VN,AS45899 VNPT Corp
MaxserverCompanyLimited,VN,AS135921 Maxserver Company Limited
FPTTelecom,VN,AS18403 FPT Telecom Company
MobiFone,VN,AS131429 MOBIFONE Corporation
SaigonPostelCorporation,,
CMCTelecomInfrastructureCompany,VN,AS45903 CMC Telecom Infrastructure Company
ClaroPuertoRico,PR,"AS10396 DATACOM CARIBE, INC."
LibertyCablevisionofPuertoRico,US,AS14638 Liberty Cablevision of Puerto Rico
BOOMNET,PR,AS63393 BOOM NET
DMWireless,PR,AS53764 DM Wireless LLC
VelocityNet,PR,AS21944 VelocityNet PR
OBO,BW,AS36963 Orange Botswana (PTY) Ltd
Concerotel-Botswana,BW,AS327830 Concerotel Botswana Pty Ltd
BotswanaTelecommunicationsCorporation,BW,AS14988 Botswana Telecommunications Corporation
Stature-PTY-LTD,,
Mascom-Wireless-Botswana,,
DrukNetISP,BT,AS18024 Bhutan Telecom Ltd
MinistryofInformation&CommunicationsThimphu,BT,"AS134715 Ministry of Information & Communications Thimphu, Bhutan"
CrnogorskiTelekoma.d.Podgorica,ME,AS8585 Crnogorski Telekom a.d.Podgorica
Telemach,ME,AS31042 Serbia BroadBand-Srpske Kablovske mreze d.o.o.
DrustvozatelekomunikacijeMTELDOO,ME,AS43940 Drustvo za telekomunikacije MTEL DOO
ComcastCable,US,"AS7922 Comcast Cable Communications, LLC"
Starry,US,"AS395354 Starry, Inc."
HyonixLLC,US,AS213122 Hyonix LLC
SouthCentralCommunications,US,"AS26253 South Central Communications, Inc."
CONTABO,US,AS40021 Contabo Inc.
WideOpenWest,US,AS12083 WideOpenWest Finance LLC
Amazon.com,US,"AS16509 Amazon.com, Inc."
NortexCommunicationsCompany,US,AS16823 Nortex Communications Company
CoxCommunications,US,"AS7922 Comcast Cable Communications, LLC"
HolyHosting(holy.gg),US,AS174 Cogent Communications
JaguarCommunications,US,AS15011 Jaguar Communications
HorryTelephoneCooperative,US,"AS21565 Horry Telephone Cooperative, Inc."
T-MobileUSA,TR,AS12735 TurkNet Iletisim Hizmetleri A.S.
WindstreamCommunications,US,AS11681 Integrity Networks
HetznerOnlineGmbH,FI,AS24940 Hetzner Online GmbH
FrontierCommunications,US,"AS5650 Frontier Communications of America, Inc."
Alibaba,US,"AS45102 Alibaba (US) Technology Co., Ltd."
"DataShack,LC",US,"AS33387 Nocix, LLC"
Interserver,US,"AS19318 Interserver, Inc"
GlobalBroadbandSolutionInc,CD,AS43256 Global Broadband Solution Inc
OVHSAS,US,AS16276 OVH SAS
ColoCrossing,US,AS36352 ColoCrossing
"Choopa,LLC",GB,"AS20473 The Constant Company, LLC"
GreenFloidLLC,US,AS204957 ITL-Bulgaria Ltd.
M247Ltd,US,AS9009 M247 Ltd
InputOutputFloodLLC,US,AS53755 Input Output Flood LLC
CAMPLINK,US,"AS33657 Comcast Cable Communications, LLC"
HostingServicesInc,US,"AS32780 Hosting Services, Inc."
EPBFiberOptics,US,AS26827 EPB Fiber Optics
CableAmericaCorporation,US,AS16495 CableAmerica
Linode,GB,"AS63949 Linode, LLC"
PsychzNetworks,US,AS40676 Psychz Networks
DigitalOcean,US,"AS14061 DigitalOcean, LLC"
FranTechSolutions,US,AS53667 FranTech Solutions
GigaMonster,US,AS31939 GigaMonster
VerizonFios,US,AS701 Verizon Business
SuddenlinkCommunications,US,AS19108 Suddenlink Communications
AT&TWireless,US,AS20057 AT&T Mobility LLC
GoogleFiber,US,AS16591 Google Fiber Inc.
QuadraNet,US,AS8100 QuadraNet Enterprises LLC
"MajesticHostingSolutions,LLC",US,"AS396073 Majestic Hosting Solutions, LLC"
UK2.NET,GB,AS13213 UK-2 Limited
AT&TInternetServices,US,"AS7018 AT&T Services, Inc."
VivaDominicana,DO,"AS46198 Trilogy Dominicana, S.A."
VolumeDrive,US,AS46664 VolumeDrive
Spectrum,US,AS20115 Charter Communications
SpectrumBusiness,US,"AS33363 Charter Communications, Inc"
CincinnatiBell,US,AS6181 Cincinnati Bell Telephone Company LLC
GoogleCloud,DE,AS396982 Google LLC
MicrosoftCorporation,US,AS8075 Microsoft Corporation
AT&TU-verse,US,"AS7018 AT&T Services, Inc."
MaxihostLLC,US,AS396356 Maxihost LLC
DatacampLimited,PH,AS9299 Philippine Long Distance Telephone Company
CenturyLink,US,"AS209 CenturyLink Communications, LLC"
TefincomS.A.,FR,AS136787 TEFINCOM S.A.
OptimumOnline,US,AS6128 Cablevision Systems Corp.
ZiplyFiber,US,AS20055 Wholesail networks LLC
GigeNET,US,AS32181 GigeNET
M5ComputerSecurity,US,AS21581 M5 Computer Security
ClaroDominicanRepublic,DO,AS6400 Compañía Dominicana de Teléfonos S. A.
"GuestchoiceTvRd,S.r.l",DO,"AS267700 GUESTCHOICE TV RD, S.R.L"
"Mundo1telecom,S.r.l.",DO,"AS272054 MUNDO1TELECOM, S.R.L."
ExitoVisionCableS.A.S,DO,AS267845 Exito Vision Cable S.A.S
CableLaUnionSrl,DO,"AS266815 Cable Del Norte , S.R.L"
JoseDigitalMediaDominicanaSrl,DO,AS269908 JOSE DIGITAL MEDIA DOMINICANA SRL
Telerybroadband,DO,"AS271799 TELERY NETWORKS, S.R.L"
"DominicanCableGroupDcg,S.r.l.",DO,"AS64126 DOMINICAN CABLE GROUP DCG, S.R.L."
ORBITEKS.R.L,DO,AS271965 ORBITEK SRL
"CablevisionDelCaribe,Eirl",DO,"AS46198 Trilogy Dominicana, S.A."
"ColumbusNetworksDominicana,S.A.",DO,"AS52471 COLUMBUS NETWORKS DOMINICANA, S.A."
AlticeDominicanaS.A.,DO,AS28118 ALTICE DOMINICANA S.A.
EstrelaTelecom,DO,AS262221 ESTRELA TELECOM
VivaDominicana,DO,AS28053 ONEMAX S.A.
WillnetSRL,DO,AS271996 WILLNET SRL
"Megadatta,C.A.",VE,"AS267701 Megadatta, C.A."
360NETC.A,,
NetworkSpeedC.A.,VE,AS269782 NETWORK SPEED C.A
"CorporacionFibexTelecom,C.a.",VE,"AS264628 CORPORACION FIBEX TELECOM, C.A."
"Nervicom,C.a.",VE,"AS266809 NERVICOM, C.A."
"Colnetwork,C.A",VE,AS271907 COLNETWORK C.A.
MDSTelecom,VE,AS269832 MDS TELECOM C.A.
TVCableLitoralC.A.,VE,"AS264628 CORPORACION FIBEX TELECOM, C.A."
"NetcomPlus,C.A.",VE,"AS269749 NETCOM PLUS, C.A"
CixBroadband,VE,AS265641 TELECOMUNICACIONES ROCARLI C.A (CIX BROADBAND)
Lumen,CO,"AS3549 Level 3 Parent, LLC"
IFXNetworksVenezuelaC.A.,VE,AS8053 IFX Networks Venezuela C.A.
TelefonicaVenezolana,VE,"AS6306 TELEFONICA VENEZOLANA, C.A."
ComunicacionesGalupC.A,VE,AS265633 Comunicaciones Galup C.A
DistribuidoraOfictechdevenezuelaC.A.,VE,AS269788 DISTRIBUIDORA OFIC TECH DE VENEZUELA C.A.
TecnovenServicesCa,US,AS269730 TECNOVEN SERVICES CA
MaracaiboNetC.a,VE,AS269829 MARACAIBO NET C.A
"RepresentacionesAbanet,C.a.",,
Cantv,VE,"AS8048 CANTV Servicios, Venezuela"
AirtekSolutionsC.A.,VE,AS61461 Airtek Solutions C.A.
NetLinkAmericaC.A.,VE,AS263703 NetLink América C.A.
MdsTelecomC.a.,VE,AS269832 MDS TELECOM C.A.
InterVenezuela,VE,AS21826 Corporación Telemic C.A.
"Printer-net-service,C.a.",,
CorporacionDigitelC.A.,,
CompanhiadeTelecomunicacoesdeMacauSARL,MO,AS4609 Companhia de Telecomunicacoes de Macau SARL
LiquidTelecommunicationRwanda,RW,AS37006 Liquid Telecommunication Rwanda Limited
RwEdNet,RW,AS37654 Rwanda Ministry of Education
Olleh-Rwanda-Networks,,
KTRwandaNetworks,RW,AS37228 KT RWANDA NETWORK Ltd
AirtelRwanda,RW,AS327707 Airtel Rwanda Ltd
GVA-Canalbox,CG,AS36924 GVA Cote d'Ivoire SAS
MTNRwandaCell,RW,AS36890 MTN Rwandacell
M247Ltd,GB,AS9009 M247 Ltd
Telenet,LV,AS24589 Telenet SIA
Proximus,BE,AS5432 Proximus NV
VOO,BE,AS12392 Brutele SC
Cst-net,ST,AS328191 Companhia Santomense de Telecomunicacoes
"NosComunicacoes,S.A.",PT,"AS2860 NOS COMUNICACOES, S.A."
MEO,PT,AS3243 MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.
OoredooQatar,QA,AS42298 Ooredoo Q.S.C.
VodafoneQatar,QA,AS48728 Vodafone Qatar P.Q.S.C
Movitel,MZ,"AS37342 Movitel, SA"
CentralMethodistUniversity,MZ,AS327700 Mozambique Research & Education Network - MoRENet
HalaAlRafidainCompanyforCommunicationsandIn,IQ,AS58322 Hala Al Rafidain Company for Communications and Internet LTD.
SAWADLANDforInformationTechnologyLtd,IQ,AS205473 SAWAD LAND for Information Technology Ltd
IQNetworks,IQ,AS44217 IQ Networks
AsserAl-TechnologiaInformationTechnologyCompan,IQ,AS202699 Asser Al-Technologia Information Technology Company Limited
SuperCellNetworkForInternetServicesLtd,IQ,AS201749 SUPER CELL NETWORK FOR INTERNET SERVICES LTD
ErbilInternationalAiport,IQ,AS203982 Erbil International Aiport
NetTechLtd,IQ,AS203735 Net Tech Ltd
ProviderforGeneralTradingandInternetServices,IQ,"AS206611 Provider for General Trading and Internet Services, LLC"
AllayNawrozTelecomCompanyforCommunication/Ltd,,
OptimumLineforInternetServicesLtd.,IQ,AS210509 Optimum Line for Internet Services Ltd.
LaythZuhairZahid,IQ,AS203257 Layth Zuhair Zahid
AlrrabitalnnaeimforInternetServicesPvt.LtdCo,IQ,AS212122 Alrrabitalnnaeim for Internet Services Pvt. Ltd Company
"ScopeSkyforcommunications,internetandtechnolo",IQ,"AS50597 ScopeSky for communications, internet and technology services LLC"
TarinGeneralTradingandSettingUpInternetDevi,IQ,AS197882 Tarin General Trading and Setting Up Internet Device LTD
O3-Telecom,IQ,AS206206 Kurdistan Net Company for Computer and Internet Ltd.
SatGateCompanyforTradingofComputersSystemsa,IQ,AS3194 SatGate Company for Trading of Computers Systems and Communications Appliances WLL
BlueSkyTelecomLTD,IQ,AS202354 Blue Sky Telecom LTD
SmartWavesforInformationTechnologyLtd,IQ,AS201031 Smart Waves for Information Technology Ltd
"SpeedwayGeneralTrading,InformationTechnologya",IQ,"AS57761 Speedway General Trading, Information Technology and Internet Communications Co. Ltd."
SEVENNET,IQ,AS51018 Seven Net Layers for General Trading & Information Technology LTD.
KorekTelecomCompanyforCommunicationsLLC,IQ,AS59625 Korek Telecom Company for Communications LLC
FastLineForCommunicationAndInformationTechnol,IQ,AS3178 FastLine For Communication And Information Technology Ltd
"SmartLinkCompanyforInternetService,specialc",IQ,"AS208115 Smart Link Company for Internet Service, special company and limited responsibility"
TishknetInternetServices,IQ,AS200865 TISHK NET Company for WIMAX technology and Internet Service Limited
Exabyt,IQ,AS206206 Kurdistan Net Company for Computer and Internet Ltd.
FACTLTD,IQ,AS208859 FACT LTD
AlASASCompany,IQ,AS57958 ALASAS COMPANY FOR TELECOMMUNICATIONS SERVICES AND INFORMATION TECHNOLOGY LTD
GroupNetLtd,IQ,AS210837 ROYA Communications and Internet Services Company Ltd.
TAYFAL-MADARforInternetServicesPvt.Ltdcompa,IQ,AS210095 TAYF AL-MADAR for Internet Services Pvt. Ltd company
SparkTechnicalServicesforCommunicationLtd,IQ,AS208570 Spark Technical Services for Communication Ltd
HilalAl-RafidainforComputerandInternetServic,IQ,"AS198735 Hilal Al-Rafidain for Computer and Internet Services Co., Ltd."
"OnlineCompanyforTechnologicalInformation,Supp",IQ,"AS207097 Online Company for Technological Information, Supply of Electronic Equipment and Internet Services Through Wifi Ltd."
Al-JazeeraAl-ArabiyaCompanyforCommunicationan,,
DomainEarthforCommunicationandBankingSolutio,IQ,AS203904 Domain Earth for Communication and Banking Solutions with Limited Liability
IZoneTeleLtd,IQ,AS201668 Sama Madeniti for Communication & Internet Ltd.
AL-SARDFIBERCo.forInternetFiberandOpticalC,DZ,AS36947 Telecom Algeria
Al-HadethaforsoftwareandAutomationLtd,DZ,AS36947 Telecom Algeria
AL-MARAJAL-ALAMIYACo,,
AlAtheerTelecommunication-IraqCo.Ltd.Incorpor,IQ,AS59588 Al Atheer Telecommunication-Iraq Co. Ltd. Incorporated in Cayman Islands
Alsardfiber,,
AufqIraqnaIRAQ.,IQ,AS201668 Sama Madeniti for Communication & Internet Ltd.
supernetworkforinternetserviceltd,IQ,AS207786 super network for internet service ltd
CogentCommunications,IQ,AS209193 SUPER CELL NETWORK FOR INTERNET SERVICES LTD
DijlatAl-KhairforcommunicationsandinternetLt,,
HorizonScopeMobileTelecomWLL,IQ,AS203217 Horizon Scope Mobile Telecom WLL
NetTechIQ,IQ,AS203735 Net Tech Ltd
IraqSkyCommunicationsandInternetLimitedLiabil,IQ,AS206641 IraqSky Communications and Internet Limited Liability Company
AdvancedNetworkingTechnologies(A.N.T.)Company,IQ,AS48175 Advanced Networking Technologies (A.N.T.) Company for Information Technology Ltd
EarthLinkIraq,IQ,AS50710 EarthLink Ltd. Communications&Internet Services
GigaNinevehforinternetservicesLtd,IQ,AS205889 Giga Nineveh for internet services Ltd
DILTechnologyLimited,IQ,AS210021 DIL Technology Limited
AsiacellCommunicationsLLC,IQ,AS51684 Asiacell Communications LLC
HayatforInternet&communicationLLC,IQ,AS57588 Hayat for Internet & communication LLC
"FastIraq,LLC",IQ,"AS56484 FastIraq, LLC"
ValinCompanyforGeneralTradingandCommunicatio,IQ,AS205254 Valin Company for General Trading and Communication LTD
Al-LamsaAl-WahidaCompanyforCommunicationServi,,
ShamsTelecomNetworksandInternetServiceLtd,IQ,AS208365 Shams Telecom Networks and Internet Service Ltd
"LightLusterCo.forInternetServices,LTD",IQ,"AS212280 Light Luster Co. for Internet Services, LTD"
"CivilisationInformationTechnology,communication",IQ,"AS212330 Civilisation Information Technology, communication and internet services Co., LTD"
I.QOnlineforInternetServicesandCommunication,IQ,AS48492 I.Q Online for Internet Services and Communications LLC
SoftlinkLTD,IQ,AS210162 Softlink LTD
GalaxyNetworkCo.ForInternetServicesLtd,IQ,AS211986 Galaxy Network Co. For Internet Services Ltd
WiCAMCorporation,KH,AS24492 WiCAM Corporation Ltd.
Xinwei(Cambodia)TelecomCo.Ltd,KH,"AS58424 # 3BEo, Sangkat Beoun Prolit, Khan 7Makara, Phnom Penh."
"FIBERNANOTECHCambodiaCo.,Ltd",KH,"AS139844 FIBER NANOTECH (Cambodia) Co.,Ltd"
SugaPte.,KH,AS138606 Suga Pte. Ltd
TodayCommunication,KH,AS38235 ANGKOR DATA COMMUNICATION
Cellcard,KH,AS17976 CAMGSM Company Ltd
CogetelOnline,KH,"AS23673 Cogetel Online, Cambodia, ISP"
"KingTechnologiesCo.,Ltd",KH,AS131178 OpenNet ISP Cambodia
MegaTruenetCommunicationCo.,KH,"AS139628 Mega Truenet Communication Co., Ltd."
"CAMINTEL,NationalTelecommunicationProvider,Phn",KH,"AS38209 CAMINTEL, National Telecommunication Provider, Phnom Penh, Cambodia"
"DataNetworkServicesProviderCo.,Ltd",KH,"AS137499 Data Network Services Provider Co.,Ltd"
"#3BEo,SangkatBeounProlit,Khan7Makara,Phnom",,
"KingTechnologies,Co.,Ltd",KH,AS131178 OpenNet ISP Cambodia
"TelnetCo.,ltd",KH,"AS137853 TELNET CO.,LTD"
CityLinkCorporation,KH,"AS24441 CityLink Corporation, LTD"
BeeUnionCambodiaTelecomCo.,KH,"AS137811 BEE UNION (CAMBODIA) TELECOM CO., LTD"
TPLCHolding,KH,"AS55636 TPLC Holding Ltd.,"
Metfone,KH,AS38623 ISP/IXP IN CAMBODIA WITH THE BEST VERVICE IN THERE.
"NEOCOMISPLIMITED,IPTXTransitandNetworkServic",KH,"AS9902 NEOCOMISP LIMITED, IPTX Transit and Network Service Provider in Cambodia."
SINETFiber,KH,"AS131207 SINET, Cambodia's specialist Internet and Telecom Service Provider."
EZECOM,KH,AS38901 EZECOM limited
IstanaimpianCorporationLimited,KH,AS136379 Istanaimpian Corporation Limited
EZECOMlimited,KH,AS38901 EZECOM limited
"TodayCommunicationCo.,Ltd",KH,"AS135375 Today Communication Co.,Ltd"
AngkorDataCommunication,KH,AS38235 ANGKOR DATA COMMUNICATION
SmartAxiata,KH,"AS45498 SMART AXIATA Co., Ltd."
M.A.TCo.,KH,"AS132080 M.A.T Co., Ltd."
BaltcomSIA,LV,AS20910 Baltcom SIA
Tele2Latvia,LV,AS1257 Tele2 Sverige AB
TET,LV,AS12578 SIA Tet
LatvijasMobilaisTelefonsSIA,LV,AS24921 Latvijas Mobilais Telefons SIA
BiteLietuva,LT,AS13194 UAB Bite Lietuva
SIABITELatvija,LV,AS2588 SIA BITE Latvija
Balticom,LV,AS24651 JSC BALTICOM
SiaLivasNet,LV,AS34001 SIA LIVAS NET
TelenetSIA,LV,AS24589 Telenet SIA
JSCAlmaTelecommunications,KZ,AS39824 JSC Alma Telecommunications
RadiobaylanysLLP,KZ,AS29046 Radiobaylanys LLP
Tele2Kazakhstan,KZ,AS29555 Mobile Telecom-Service LLP
KainarNET,KZ,AS212999 TOO Kainar-Media
Kar-TelLLC,LC,AS15344 Karib Cable
JSCTranstelecom,KZ,AS41798 JSC Transtelecom
2DayTelecomLLP,KZ,AS21299 Kar-Tel LLC
Toob-tel,KZ,"AS61367 TOO ""B-TEL"""
OBITLtd.,KZ,AS43370 OBIT Ltd.
NLSKazakhstanLLC,KZ,AS200590 NLS Kazakhstan LLC
X-communicationLlp,BD,AS133854 X-press Technologies Limited.
JusanMobileJSC,KZ,AS35104 Jusan Mobile JSC
Tele2KZ,KZ,AS48503 Mobile Telecom-Service LLP
JSCKazakhtelecom,KZ,AS9198 JSC Kazakhtelecom
MobileTelecom-ServiceLLP,KZ,AS29555 Mobile Telecom-Service LLP
astelJsc,KZ,AS8393 ASTEL JSC
MicrosoftCorporation,US,AS8075 Microsoft Corporation
TefincomS.A.,FR,AS136787 TEFINCOM S.A.
Netvigator,HK,AS4760 HKT Limited
"XinweiIntelcom.nic,S.A.",,
TELEFONIACELULARDENICARAGUA,NI,AS27742 Amnet Telecomunicaciones S.A.
ClaroNicaragua,NI,AS14754 Telgua
OutremerTelecomSASU,FR,AS20776 Outremer Telecom SASU
tangerine-ug,UG,AS37113 Tangerine Limited
Wananchi,KE,AS15399 Wananchi Group (Kenya) Limited
MarocTelecom,MA,AS36903 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM
OrangeMorocco,MA,AS36925 MEDITELECOM
WanaCorporate,MA,AS36884 Wana Corporate
MoroccanAcademicNetwork,MA,AS30983 CNRST (Centre National pour la Recherche Scientifique et Technique)
CimecomNortis,MA,AS29286 SKYLOGIC S.P.A.
AL-Akhawayn,DZ,AS36947 Telecom Algeria
SkylogicS.p.A.,MA,AS29286 SKYLOGIC S.P.A.
UFINETGuatemalaS.A.,GT,AS52468 UFINET PANAMA S.A.
SuperwifiDeGuatemalaS.A,GT,AS269840 SUPERWIFI DE GUATEMALA S.A
ComunicacionesMetropolitanasCablecolor,GT,AS22869 CABLECOLOR S.A.
"Tecnocolor,S.A.",GT,AS22869 CABLECOLOR S.A.
ClaroGuatemalaStaticIP,GT,AS14754 Telgua
ClaroGuatemala,GT,AS14754 Telgua
MetroredS.A.DeC.v.,HN,AS23383 METRORED S.A. DE C.V.
"Nortvcom,SociedadAnonima",GT,"AS270036 NORTVCOM, SOCIEDAD ANONIMA"
"BroadcomGroup,S.A",GT,"AS264637 Blue Consulting Group, S. A."
ConectividadYTecnologiaS.A.,GT,AS266755 CONECTIVIDAD Y TECNOLOGIA S.A.
TigoGuatemala,GT,"AS52362 Servicios Innovadores de Comunicación y Entretenimiento, S.A."
CablecolorS.A.,GT,AS22869 CABLECOLOR S.A.
ComcelGuatemala,GT,AS23243 COMCEL GUATEMALA S.A.
PT.HipernetIndodata,ID,AS38758 PT. HIPERNET INDODATA
Telkomsel,ID,AS23693 PT. Telekomunikasi Selular
PTJalaLintasMedia,ID,AS55685 PT Jala Lintas Media
PTMoraTelematikaIndonesia,ID,AS131111 PT Mora Telematika Indonesia
GMDP,,
PT.CemerlangMultimedia,ID,AS55699 PT. Cemerlang Multimedia
ThreeIndonesia,ID,"AS45727 Hutchison CP Telecommunications, PT"
PTRemalaAbadi,ID,AS38511 PT Remala Abadi
PT.GemilangJayaElektrindo,ID,AS138824 PT. Gemilang Jaya Elektrindo
PT.MNCKabelMediacom,ID,AS23693 PT. Telekomunikasi Selular
UinAr-raniry,ID,AS137300 UIN AR-RANIRY
PT.CiptaInformatikaCemerlang,ID,AS45295 PT. Cipta Informatika Cemerlang
BiznetNetworks,ID,AS17451 BIZNET NETWORKS
MyRepublicID,ID,AS63859 PT. Eka Mas Republik
Smartfren,ID,"AS133798 PT. Smartfren Telecom, Tbk"
PTSuryaTeknikaPratama,ID,AS64027 PT SURYA TEKNIKA PRATAMA
MNCPlaymedia,ID,AS17670 PT. MNC Kabel Mediacom
"SolusindoBintangPratama,PT",ID,"AS38753 Solusindo Bintang Pratama, PT"
PTSolnetIndonesia,ID,AS9422 PT SOLNET INDONESIA
PTDESTeknologiInformasi,ID,AS9341 PT Indonesia Comnets Plus
PTMediaSaranaData,ID,AS55666 PT Media Sarana Data
PTJaringankuSaranaNusantara,ID,AS64300 PT JARINGANKU SARANA NUSANTARA
MEGADATA-ISP,ID,AS136873 PT. MEGA ARTHA LINTAS DATA
MyRepublicIndonesia,ID,AS63859 PT. Eka Mas Republik
PTGreenNetIndonesia,ID,AS138873 PT GREEN NET INDONESIA
PTTelkomIndonesia,ID,AS7713 PT Telekomunikasi Indonesia
PTLintasJaringanNusantara,,
PT.TransIndonesiaSuperkoridor,ID,AS138871 PT. Trans Indonesia Superkoridor
PT.CyberindoAditama,ID,AS135478 PT. Cyberindo Aditama
PT.PutraLebakBanten,ID,AS139972 PT. Putra Lebak Banten
PTMaxindoMitraSolusi,ID,AS38320 PT Maxindo Mitra Solusi
PTDataArtaSedaya,ID,AS141674 PT Data Arta Sedaya
PTLinknet,ID,AS23700 Linknet-Fastnet ASN
MENAKSOPAL,ID,AS139981 PT. Menaksopal Link Nusantara
DinasKomunikasiProvinsJawaBarat,ID,AS138050 Dinas Komunikasi Provins Jawa Barat
DiskominfoProv.JawaTengah,ID,AS131724 DISKOMINFO PROV. JAWA TENGAH
PTMubaNetworkConnection,ID,AS141580 PT Muba Network Connection
PTiForteGlobalInternet,ID,AS17995 PT iForte Global Internet
PTPrismaMediaNusantara,ID,AS139977 PT PRISMA MEDIA NUSANTARA
PTMitraLintasMultimedia,ID,AS136093 PT Mitra Lintas Multimedia
INDOSATInternetNetworkProvider,ID,AS4761 INDOSAT Internet Network Provider
RsupDrKariadi,ID,AS140006 RSUP DR KARIADI
PTProxiJaringanNusantara,ID,AS140401 PT Proxi Jaringan Nusantara
NeuvizNet,ID,AS18103 Neuviz Net
ComtronicsSystems,ID,AS23949 PT Comtronics Systems
FirstMedia,ID,AS23700 Linknet-Fastnet ASN
PTSumberDataIndonesia,ID,AS56246 PT Sumber Data Indonesia
XLAxiata,ID,AS24203 PT XL Axiata
PT.TransNasionalTeknologi,ID,AS137344 PT. TRANS NASIONAL TEKNOLOGI
PT.FiberNetworksIndonesia,ID,AS58369 PT. Fiber Networks Indonesia
PTAplikanusaLintasarta,ID,AS4800 PT Aplikanusa Lintasarta
PTIndonesiaComnetsPlus,ID,AS9341 PT Indonesia Comnets Plus
